	Drug	Target
1569	Artenimol	Rhoptry neck protein 3
1570	Artenimol	40S ribosomal protein S5, putative
1571	Artenimol	Skeleton-binding protein 1
1572	Artenimol	Purine nucleotide phosphorylase, putative
1573	Artenimol	Adenosylhomocysteinase
1574	Artenimol	Adenosine deaminase
1575	Artenimol	Methionine--tRNA ligase
1576	Artenimol	Carbamoyl phosphate synthetase
1577	Artenimol	Aspartate carbamoyltransferase
1578	Artenimol	Signal recognition particle receptor, beta subunit
1579	Artenimol	Parasite-infected erythrocyte surface protein
1580	Artenimol	Coatomer alpha subunit, putative
1581	Artenimol	Hexokinase
1582	Artenimol	Proteasome subunit alpha type
1583	Artenimol	Haloacid dehalogenase-like hydrolase
1584	Artenimol	Insulinase, putative
1585	Artenimol	40S ribosomal protein S21
1586	Artenimol	Ubiquitin-conjugating enzyme E2
1587	Artenimol	Eukaryotic translation initiation factor 3 subunit C
1588	Artenimol	60S ribosomal protein L24, putative
1589	Artenimol	60S ribosomal protein L23
1590	Artenimol	60S ribosomal protein L17, putative
1591	Artenimol	HAP protein
1592	Artenimol	Heat shock protein 110, putative
1593	Artenimol	60S ribosomal protein L10, putative
1594	Artenimol	Lysophospholipase, putative
1595	Artenimol	Polyadenylate-binding protein
1596	Artenimol	Ubiquitin-60S ribosomal protein L40
1597	Artenimol	Phosphoribosylpyrophosphate synthetase
1598	Artenimol	Thioredoxin peroxidase 1
1599	Artenimol	Protein transport protein SEC31
1600	Artenimol	Dipeptidyl aminopeptidase 1
1601	Artenimol	Ring-infected erythrocyte surface antigen
1602	Artenimol	ATP-dependent RNA helicase UAP56
1603	Artenimol	Calcium-dependent protein kinase 4
1604	Artenimol	GTP-binding nuclear protein Ran
1605	Artenimol	Nucleoside transporter 2
1606	Artenimol	Anamorsin homolog
1607	Artenimol	Glutamine synthetase, putative
1608	Artenimol	60S ribosomal protein L30e, putative
1609	Artenimol	Casein kinase 2, alpha subunit
1610	Artenimol	Threonine--tRNA ligase
1611	Artenimol	cAMP-dependent protein kinase regulatory subunit
1612	Artenimol	Elongation factor 1-gamma, putative
1613	Artenimol	Thioredoxin-like protein
1614	Artenimol	60S ribosomal protein L21
1615	Artenimol	60S ribosomal protein L14, putative
1616	Artenimol	Inner membrane complex sub-compartment protein 3
1617	Artenimol	HSP40, subfamily A, putative
1618	Artenimol	Pyridoxal 5'-phosphate synthase subunit Pdx1
1619	Artenimol	Serum albumin
1620	Baloxavir marboxil	Polymerase acidic protein
1621	Candesartan cilexetil	Type-1 angiotensin II receptor
1622	Suramin	P2Y purinoceptor 2
1623	Suramin	NAD-dependent protein deacylase sirtuin-5, mitochondrial
1624	Suramin	Follicle-stimulating hormone receptor
1625	Suramin	Ryanodine receptor 1
1626	Suramin	Prothrombin
1627	Suramin	Phospholipase A2, membrane associated
1628	Suramin	Complement control protein C3
1629	Ledipasvir	Nonstructural protein 5A
1630	Naproxen	Prostaglandin G/H synthase 1
1631	Naproxen	Peptostreptococcal albumin-binding protein
1632	Naproxen	Prostaglandin G/H synthase 2
1633	Prasugrel	P2Y purinoceptor 12
1634	Enoxaparin	Antithrombin-III
1635	Enoxaparin	Coagulation factor X
1636	Enoxaparin	Prothrombin
1637	Levocarnitine	Solute carrier family 22 member 4
1638	Levocarnitine	Solute carrier family 22 member 5
1639	Levocarnitine	Carnitine O-acetyltransferase
1640	Levocarnitine	Mitochondrial basic amino acids transporter
1641	Levocarnitine	Mitochondrial carnitine/acylcarnitine carrier protein
1642	Levocarnitine	Peroxisomal carnitine O-octanoyltransferase
1643	Levocarnitine	Carnitine O-palmitoyltransferase 2, mitochondrial
1644	Levocarnitine	Carnitine O-palmitoyltransferase 1, liver isoform
1645	Levocarnitine	Xanthine dehydrogenase/oxidase
1646	Levocarnitine	Liver carboxylesterase 1
1647	Levocarnitine	Myeloperoxidase
1648	Fisetin	Cyclin homolog
1649	Fisetin	Cyclin-dependent kinase 6
1650	Verapamil	Voltage-dependent L-type calcium channel subunit alpha-1C
1651	Verapamil	Voltage-dependent N-type calcium channel subunit alpha-1B
1652	Verapamil	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
1653	Verapamil	ATP-sensitive inward rectifier potassium channel 11
1654	Verapamil	Voltage-dependent T-type calcium channel subunit alpha-1G
1655	Verapamil	Voltage-dependent T-type calcium channel subunit alpha-1H
1656	Verapamil	Potassium voltage-gated channel subfamily H member 2
1657	Verapamil	Sodium-dependent serotonin transporter
1658	Verapamil	Alpha-1A adrenergic receptor
1659	Verapamil	Alpha-1B adrenergic receptor
1660	Verapamil	Alpha-1D adrenergic receptor
1661	Isoflurane	Gamma-aminobutyric acid receptor subunit alpha-1
1662	Isoflurane	Calcium-transporting ATPase type 2C member 1
1663	Isoflurane	Glycine receptor subunit alpha-1
1664	Isoflurane	Glutamate receptor 1
1665	Isoflurane	Potassium voltage-gated channel subfamily A member 1
1666	Isoflurane	ATP synthase subunit delta, mitochondrial
1667	Isoflurane	Calmodulin
1668	Isoflurane	Gamma-aminobutyric acid receptor subunit alpha-2
1669	Isoflurane	Gamma-aminobutyric acid receptor subunit alpha-3
1670	Isoflurane	Gamma-aminobutyric acid receptor subunit alpha-4
1671	Isoflurane	Gamma-aminobutyric acid receptor subunit alpha-5
1672	Isoflurane	Gamma-aminobutyric acid receptor subunit alpha-6
1673	Isoflurane	Gamma-aminobutyric acid receptor subunit beta-1
1674	Isoflurane	Gamma-aminobutyric acid receptor subunit beta-2
1675	Isoflurane	Gamma-aminobutyric acid receptor subunit beta-3
1676	Isoflurane	Gamma-aminobutyric acid receptor subunit delta
1677	Isoflurane	Gamma-aminobutyric acid receptor subunit epsilon
1678	Isoflurane	Gamma-aminobutyric acid receptor subunit gamma-1
1679	Isoflurane	Gamma-aminobutyric acid receptor subunit gamma-2
1680	Isoflurane	Gamma-aminobutyric acid receptor subunit gamma-3
1681	Isoflurane	Gamma-aminobutyric acid receptor subunit pi
1682	Isoflurane	Gamma-aminobutyric acid receptor subunit theta
1683	Isoflurane	Neuronal acetylcholine receptor subunit alpha-4
1684	Isoflurane	Neuronal acetylcholine receptor subunit beta-2
1685	Artesunate	Malaria protein EXP-1
1686	Sulodexide	Heparin cofactor 2
1687	Sulodexide	Antithrombin-III
1688	Iloprost	Prostacyclin receptor
1689	Iloprost	Prostaglandin E2 receptor EP1 subtype
1690	Iloprost	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
1691	Iloprost	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
1692	Iloprost	cAMP-specific 3',5'-cyclic phosphodiesterase 4C
1693	Iloprost	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
1694	Iloprost	Tissue-type plasminogen activator
1695	Iloprost	Prostaglandin D2 receptor 2
1696	Rabeprazole	Potassium-transporting ATPase alpha chain 1
1697	Tenofovir alafenamide	Reverse transcriptase/RNaseH
1698	Tenofovir alafenamide	Reverse transcriptase
1699	Tenofovir alafenamide	DNA polymerase
1700	Chlorpromazine	D(2) dopamine receptor
1701	Chlorpromazine	D(1A) dopamine receptor
1702	Chlorpromazine	5-hydroxytryptamine receptor 1A
1703	Chlorpromazine	5-hydroxytryptamine receptor 2A
1704	Chlorpromazine	Alpha-1A adrenergic receptor
1705	Chlorpromazine	Alpha-1B adrenergic receptor
1706	Chlorpromazine	Histamine H1 receptor
1707	Chlorpromazine	Potassium voltage-gated channel subfamily H member 2
1708	Chlorpromazine	D(1B) dopamine receptor
1709	Chlorpromazine	D(3) dopamine receptor
1710	Chlorpromazine	D(4) dopamine receptor
1711	Chlorpromazine	5-hydroxytryptamine receptor 2C
1712	Chlorpromazine	5-hydroxytryptamine receptor 2B
1713	Chlorpromazine	Alpha-1D adrenergic receptor
1714	Chlorpromazine	Alpha-2A adrenergic receptor
1715	Chlorpromazine	Alpha-2B adrenergic receptor
1716	Chlorpromazine	Alpha-2C adrenergic receptor
1717	Chlorpromazine	Muscarinic acetylcholine receptor M1
1718	Chlorpromazine	Muscarinic acetylcholine receptor M3
1719	Chlorpromazine	Sphingomyelin phosphodiesterase
1720	Chlorpromazine	Calmodulin
1721	Chlorpromazine	Alpha-1-acid glycoprotein 1
1722	Chlorpromazine	Alpha-1-acid glycoprotein 2
1723	Chlorpromazine	5-hydroxytryptamine receptor 6
1724	Chlorpromazine	5-hydroxytryptamine receptor 7
1725	Chlorpromazine	Histamine H4 receptor
1726	Norelgestromin	Progesterone receptor
1727	Norelgestromin	Serum albumin
1728	Norelgestromin	Androgen receptor
1729	Montelukast	Cysteinyl leukotriene receptor 1
1730	Montelukast	Arachidonate 5-lipoxygenase
1731	Vitamin E	Nuclear receptor subfamily 1 group I member 2
1732	Vitamin E	Protein kinase C beta type
1733	Vitamin E	Arachidonate 5-lipoxygenase
1734	Vitamin E	Protein kinase C alpha type
1735	Vitamin E	Diacylglycerol kinase alpha
1736	Vitamin E	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
1737	Vitamin E	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
1738	Vitamin E	SEC14-like protein 4
1739	Vitamin E	SEC14-like protein 3
1740	Vitamin E	SEC14-like protein 2
1741	Raltegravir	Integrase
1742	Berberine	HTH-type transcriptional regulator QacR
1743	Berberine	Baculoviral IAP repeat-containing protein 5
1744	Pioglitazone	Peroxisome proliferator-activated receptor gamma
1745	Pioglitazone	Amine oxidase [flavin-containing] B
1746	Oxytocin	Oxytocin receptor
1747	Ambrisentan	Endothelin-1 receptor
1748	Ambrisentan	Endothelin B receptor
1749	Dexmedetomidine	Alpha-2A adrenergic receptor
1750	Atorvastatin	3-hydroxy-3-methylglutaryl-coenzyme A reductase
1751	Atorvastatin	Dipeptidyl peptidase 4
1752	Atorvastatin	Aryl hydrocarbon receptor
1753	Atorvastatin	Histone deacetylase 2
1754	Atorvastatin	Nuclear receptor subfamily 1 group I member 3
1755	Galidesivir	RNA-directed RNA polymerase L
1756	Metenkefalin	Delta-type opioid receptor
1757	Metenkefalin	Mu-type opioid receptor
1758	Yohimbine	Alpha-2A adrenergic receptor
1759	Yohimbine	Alpha-2B adrenergic receptor
1760	Yohimbine	Alpha-2C adrenergic receptor
1761	Yohimbine	5-hydroxytryptamine receptor 1A
1762	Yohimbine	5-hydroxytryptamine receptor 1B
1763	Yohimbine	5-hydroxytryptamine receptor 1D
1764	Yohimbine	D(2) dopamine receptor
1765	Yohimbine	D(3) dopamine receptor
1766	Yohimbine	5-hydroxytryptamine receptor 2A
1767	Yohimbine	5-hydroxytryptamine receptor 2C
1768	Yohimbine	ATP-sensitive inward rectifier potassium channel 1
1769	Yohimbine	ATP-sensitive inward rectifier potassium channel 10
1770	Yohimbine	ATP-sensitive inward rectifier potassium channel 11
1771	Yohimbine	ATP-sensitive inward rectifier potassium channel 12
1772	Yohimbine	ATP-sensitive inward rectifier potassium channel 14
1773	Yohimbine	ATP-sensitive inward rectifier potassium channel 15
1774	Yohimbine	ATP-sensitive inward rectifier potassium channel 8
1775	Yohimbine	5-hydroxytryptamine receptor 2B
1776	Camostat	Trypsin-1
1777	Camostat	Transmembrane protease serine 2
1778	Camostat	Suppressor of tumorigenicity 14 protein
1779	Camostat	Cholecystokinin
1780	Ethinylestradiol	Estrogen receptor
1781	Ethinylestradiol	Nuclear receptor subfamily 1 group I member 2
1782	Diltiazem	Voltage-dependent calcium channel gamma-1 subunit
1783	Diltiazem	Voltage-dependent L-type calcium channel subunit alpha-1C
1784	Hydroxychloroquine	Toll-like receptor 7
1785	Hydroxychloroquine	Toll-like receptor 9
1786	Hydroxychloroquine	Angiotensin-converting enzyme 2
1787	Tenofovir disoproxil	Reverse transcriptase/RNaseH
1788	Tenofovir disoproxil	Protein P
1789	Darunavir	Pol polyprotein
1790	Bardoxolone methyl	NF-kappa-B inhibitor alpha
1791	Omeprazole	Potassium-transporting ATPase alpha chain 1
1792	Omeprazole	Aryl hydrocarbon receptor
1793	Daclatasvir	Nonstructural protein 5A
1794	Ascorbic acid	Hyaluronate lyase
1795	Ascorbic acid	Xylose isomerase
1796	Ascorbic acid	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
1797	Ascorbic acid	Phytanoyl-CoA dioxygenase, peroxisomal
1798	Ascorbic acid	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
1799	Ascorbic acid	Gamma-butyrobetaine dioxygenase
1800	Ascorbic acid	Dopamine beta-hydroxylase
1801	Ascorbic acid	Peptidyl-glycine alpha-amidating monooxygenase
1802	Ascorbic acid	Prolyl 3-hydroxylase 1
1803	Ascorbic acid	Prolyl 3-hydroxylase 2
1804	Ascorbic acid	Prolyl 3-hydroxylase 3
1805	Ascorbic acid	Prolyl 4-hydroxylase subunit alpha-1
1806	Ascorbic acid	Prolyl 3-hydroxylase OGFOD1
1807	Ascorbic acid	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
1808	Ascorbic acid	DNA oxidative demethylase ALKBH2
1809	Ascorbic acid	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
1810	Ascorbic acid	Lysine-specific demethylase 5D
1811	Ascorbic acid	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
1812	Ascorbic acid	Trimethyllysine dioxygenase, mitochondrial
1813	Ascorbic acid	Transmembrane prolyl 4-hydroxylase
1814	Ascorbic acid	Egl nine homolog 1
1815	Ascorbic acid	Egl nine homolog 2
1816	Ascorbic acid	Egl nine homolog 3
1817	Duvelisib	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
1818	Duvelisib	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
1819	Interferon alfa-2b	Interferon alpha/beta receptor 2
1820	Interferon alfa-2b	Interferon alpha/beta receptor 1
1821	Icatibant	B2 bradykinin receptor
1822	Icatibant	Aminopeptidase N
1823	Ozanimod	Sphingosine 1-phosphate receptor 1
1824	Ozanimod	Sphingosine 1-phosphate receptor 5
1825	PF-07304814	Replicase polyprotein 1ab
